risk_score,risk_level,ml_contribution,anomaly_contribution,rule_contribution,ml_fraud_prob,is_flagged,risk_factors,isFraud
37.02,LOW,0.0,7.02,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
24.38,LOW,0.16,7.23,17,0.0031,False,"['>90% of balance transferred', 'Destination had zero balance']",0
36.4,LOW,0.05,6.36,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
38.34,LOW,0.0,8.34,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Very large transaction (>₹1M)']",0
38.1,LOW,0.0,8.1,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.52,LOW,0.05,5.48,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.52,LOW,0.0,5.52,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.62,LOW,0.05,5.58,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.67,LOW,0.0,6.67,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.13,LOW,0.0,5.13,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.33,LOW,0.05,5.29,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.41,LOW,0.05,5.36,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.64,LOW,0.05,5.6,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.45,LOW,0.05,6.41,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
37.64,LOW,0.0,7.64,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.93,LOW,0.0,5.93,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.15,LOW,0.0,6.15,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
15.65,LOW,0.2,8.44,7,0.0041,False,['Destination had zero balance'],0
35.75,LOW,0.05,5.71,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
37.21,LOW,0.0,7.21,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
37.65,LOW,0.0,7.65,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.65,LOW,0.05,5.6,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
37.76,LOW,0.0,7.76,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.25,LOW,0.05,5.2,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.54,LOW,0.0,6.54,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.52,LOW,0.05,5.48,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
39.01,LOW,0.0,9.01,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.09,LOW,0.0,6.09,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.26,LOW,0.0,5.26,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
38.83,LOW,0.0,8.83,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.52,LOW,0.05,6.47,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.39,LOW,0.0,6.39,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
